iter	Passed	Remaining
0	53	53085
1	53	26882
2	54	18107
3	55	13729
4	55	11096
5	56	9339
6	57	8091
7	57	7152
8	58	6456
9	59	5877
10	59	5388
11	60	4978
12	61	4634
13	61	4337
14	62	4076
15	62	3848
16	63	3647
17	63	3469
18	64	3309
19	64	3165
20	65	3036
21	65	2918
22	66	2813
23	66	2715
24	67	2629
25	68	2550
26	68	2472
27	69	2399
28	69	2332
29	70	2268
30	70	2208
31	71	2155
32	71	2104
33	72	2056
34	73	2013
35	73	1969
36	74	1927
37	74	1889
38	75	1851
39	75	1815
40	76	1780
41	76	1748
42	77	1717
43	77	1687
44	78	1660
45	78	1634
46	79	1607
47	79	1583
48	80	1560
49	80	1537
50	81	1515
51	82	1496
52	82	1476
53	83	1456
54	83	1438
55	84	1419
56	84	1402
57	85	1384
58	85	1367
59	86	1355
60	87	1345
61	88	1331
62	88	1318
63	89	1304
64	89	1291
65	90	1279
66	90	1266
67	91	1254
68	92	1242
69	92	1230
70	93	1218
71	93	1207
72	94	1195
73	94	1184
74	95	1174
75	95	1163
76	96	1153
77	96	1143
78	97	1134
79	97	1125
80	98	1115
81	98	1106
82	99	1095
83	99	1087
84	100	1079
85	100	1070
86	101	1061
87	101	1053
88	102	1047
89	102	1040
90	103	1032
91	104	1028
92	104	1023
93	105	1017
94	106	1009
95	106	1003
96	107	996
97	107	990
98	108	984
99	108	978
100	109	972
101	109	967
102	110	961
103	110	956
104	111	950
105	112	945
106	112	940
107	113	935
108	113	929
109	114	924
110	114	919
111	115	915
112	115	909
113	116	904
114	116	899
115	117	894
116	119	903
117	120	903
118	121	899
119	121	894
120	122	890
121	122	884
122	123	880
123	124	876
124	124	872
125	125	868
126	125	864
127	126	859
128	126	855
129	127	851
130	127	847
131	128	843
132	128	839
133	129	835
134	129	832
135	130	828
136	130	824
137	131	821
138	131	817
139	132	813
140	132	810
141	133	805
142	133	801
143	134	798
144	134	795
145	135	792
146	136	789
147	136	786
148	137	783
149	137	780
150	138	776
151	138	773
152	139	770
153	139	767
154	140	764
155	140	761
156	141	758
157	141	755
158	142	753
159	142	750
160	143	746
161	143	744
162	144	740
163	144	738
164	145	735
165	145	732
166	146	730
167	146	727
168	147	724
169	147	722
170	148	719
171	148	717
172	149	714
173	150	712
174	150	710
175	151	708
176	151	706
177	152	705
178	153	704
179	154	702
180	154	700
181	155	698
182	155	695
183	156	693
184	156	691
185	157	689
186	158	688
187	159	687
188	159	685
189	160	683
190	160	681
191	161	679
192	162	677
193	162	675
194	163	673
195	163	671
196	164	670
197	165	668
198	165	666
199	166	664
200	166	663
201	167	661
202	168	660
203	168	659
204	169	657
205	170	656
206	170	654
207	171	653
208	172	651
209	172	650
210	173	648
211	174	647
212	174	645
213	175	644
214	175	642
215	176	640
216	177	639
217	177	637
218	178	635
219	178	634
220	179	632
221	179	630
222	180	629
223	181	627
224	181	625
225	182	623
226	182	622
227	183	621
228	184	621
229	185	619
230	185	617
231	186	616
232	186	614
233	187	612
234	187	611
235	188	610
236	188	608
237	189	607
238	190	606
239	191	605
240	191	603
241	192	602
242	192	600
243	193	599
244	193	597
245	194	596
246	194	594
247	195	592
248	196	591
249	196	590
250	197	588
251	197	587
252	198	585
253	198	584
254	199	582
255	199	581
256	200	579
257	201	578
258	201	576
259	202	575
260	202	574
261	203	572
262	203	571
263	204	569
264	204	568
265	205	566
266	205	565
267	206	564
268	207	562
269	207	561
270	208	560
271	208	558
272	209	557
273	209	556
274	210	554
275	210	553
276	211	551
277	211	550
278	212	549
279	213	548
280	213	546
281	214	546
282	215	545
283	215	544
284	216	543
285	217	542
286	217	541
287	218	539
288	218	538
289	219	537
290	219	535
291	220	534
292	220	533
293	221	532
294	222	530
295	222	529
296	223	528
297	223	527
298	224	526
299	224	524
300	225	523
301	226	523
302	227	523
303	228	522
304	228	521
305	229	520
306	230	519
307	230	518
308	231	517
309	232	517
310	234	518
311	235	519
312	236	518
313	236	517
314	237	516
315	238	515
316	238	514
317	239	513
318	240	512
319	240	511
320	241	511
321	243	512
322	244	511
323	244	510
324	245	509
325	246	508
326	246	507
327	247	507
328	248	506
329	248	505
330	249	504
331	249	502
332	250	501
333	251	500
334	251	499
335	252	498
336	252	497
337	253	496
338	253	495
339	255	495
340	256	495
341	256	494
342	257	493
343	257	491
344	258	490
345	259	489
346	259	488
347	260	488
348	261	487
349	261	486
350	262	485
351	263	484
352	263	483
353	264	482
354	265	481
355	265	480
356	266	479
357	266	478
358	267	477
359	267	476
360	268	475
361	269	474
362	269	473
363	270	472
364	270	471
365	271	469
366	272	469
367	273	469
368	274	468
369	274	467
370	275	466
371	275	465
372	276	464
373	277	463
374	277	463
375	278	461
376	278	460
377	280	461
378	281	461
379	282	460
380	282	459
381	283	458
382	283	457
383	284	456
384	284	455
385	285	454
386	286	453
387	286	452
388	287	451
389	287	450
390	288	449
391	288	447
392	289	446
393	289	445
394	290	444
395	291	443
396	291	443
397	292	442
398	293	441
399	293	440
400	294	439
401	295	440
402	296	439
403	297	439
404	298	437
405	298	436
406	299	435
407	299	434
408	300	433
409	300	432
410	301	431
411	301	430
412	302	429
413	302	428
414	303	427
415	304	426
416	304	425
417	305	424
418	305	423
419	306	423
420	307	422
421	307	421
422	308	420
423	308	419
424	309	418
425	310	418
426	311	418
427	312	417
428	312	416
429	313	415
430	313	414
431	314	413
432	314	412
433	315	411
434	315	410
435	316	409
436	317	408
437	317	407
438	318	406
439	318	405
440	319	404
441	320	404
442	320	403
443	321	402
444	322	401
445	322	400
446	323	400
447	324	399
448	324	398
449	325	397
450	325	396
451	326	395
452	327	395
453	328	394
454	328	393
455	329	392
456	329	391
457	330	390
458	330	389
459	331	389
460	332	388
461	332	387
462	333	386
463	333	385
464	334	384
465	335	384
466	335	383
467	336	382
468	336	381
469	338	381
470	338	380
471	339	380
472	341	380
473	342	380
474	343	379
475	344	379
476	345	378
477	346	378
478	348	378
479	348	377
480	349	376
481	349	375
482	350	375
483	351	374
484	351	373
485	352	372
486	352	371
487	353	370
488	353	369
489	354	369
490	355	368
491	355	367
492	356	366
493	358	366
494	359	366
495	359	365
496	360	364
497	360	363
498	361	362
499	361	361
500	362	361
501	362	360
502	363	359
503	363	358
504	364	357
505	365	356
506	365	355
507	366	354
508	366	354
509	367	353
510	367	352
511	368	351
512	369	350
513	369	349
514	370	348
515	370	347
516	371	346
517	371	345
518	372	344
519	373	344
520	374	344
521	375	343
522	375	342
523	376	341
524	376	340
525	377	339
526	377	339
527	378	338
528	378	337
529	379	336
530	380	335
531	380	335
532	381	334
533	381	333
534	382	332
535	382	331
536	383	330
537	383	329
538	384	328
539	385	328
540	385	327
541	386	326
542	386	325
543	387	324
544	388	324
545	389	323
546	389	322
547	390	322
548	390	321
549	391	320
550	391	319
551	392	318
552	393	317
553	393	316
554	394	316
555	394	315
556	395	314
557	395	313
558	396	312
559	396	311
560	397	311
561	398	310
562	398	309
563	399	308
564	399	307
565	400	306
566	400	306
567	401	305
568	401	304
569	402	303
570	403	302
571	404	302
572	404	301
573	405	300
574	405	299
575	406	299
576	406	298
577	407	297
578	407	296
579	408	295
580	408	294
581	409	294
582	410	293
583	410	292
