iter	Passed	Remaining
0	1	135
1	2	121
2	3	104
3	4	99
4	5	101
5	6	94
6	6	90
7	7	90
8	8	90
9	9	89
10	10	88
11	11	86
12	12	83
13	13	82
14	14	79
15	14	77
16	15	76
17	16	75
18	17	74
19	18	72
20	18	70
21	19	68
22	20	67
23	21	66
24	21	65
25	22	63
26	23	62
27	23	61
28	24	60
29	25	59
30	26	58
31	26	57
32	27	56
33	28	54
34	29	53
35	29	52
36	30	51
37	31	50
38	31	49
39	32	48
40	33	47
41	33	46
42	34	45
43	34	44
44	35	43
45	36	42
46	36	41
47	37	40
48	38	39
49	38	38
50	39	37
51	39	36
52	40	35
53	41	34
54	41	33
55	41	32
56	42	32
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	46	27
63	47	26
64	47	25
65	48	24
66	49	24
67	49	23
68	50	22
69	50	21
70	51	21
71	52	20
72	52	19
73	53	18
74	53	17
75	54	17
76	54	16
77	55	15
78	56	14
79	56	14
80	57	13
81	58	12
82	58	12
83	59	11
84	59	10
85	60	9
86	61	9
87	61	8
88	62	7
89	62	6
90	63	6
91	64	5
92	64	4
93	65	4
94	65	3
95	66	2
96	67	2
97	67	1
98	68	0
99	68	0
